;user_id;actual;als_5;own_5;sim_user_5;sim_item_5
0;1;"[  999999   883616   940947   959219   991024  1004906  1046816  1087268
  1131321  1132231  5582712  9527558 13877012]";[1090247, 8293439, 6533362, 6534030, 8090541];[856942, 9297615, 5577022, 8293439, 9655212];[990869, 7160764, 982955, 847962, 1057168];[1011089, 1007512, 9297615, 5577022, 825123]
1;2;"[  999999   866211   879769   885023   899624   940947   951412   990656
  1037965  1044759  1079659  1135476  1139142  7410217  8019273 12302069
 13133971 15926927]";[1051211, 1106523, 1102067, 1114811, 1029743];[1103898, 911974, 1076580, 5567582, 1007414];[1028238, 6552318, 902377, 1131625, 903609];[1044078, 8090537, 5569845, 985999, 819978]
2;3;[ 989069 1130858];[1044078, 1029743, 1106523, 844179, 12810393];[1092937, 1008714, 12132312, 1075979, 998206];[908314, 908504, 9553382, 985699, 1017075];[1044078, 1024051, 839419, 845078, 1036249]
3;6;"[  847738   999999   948650  1082398  1100159 12757544  1036773   936741
   986912  1016276   904521 12384953   852856  1011457  6554077]";[1026118, 933637, 878996, 1084036, 871611];[13003092, 995598, 876626, 972416, 13115971];[1091090, 12262832, 988736, 12484491, 7142552];[948650, 5569845, 1105488, 819308, 941361]
4;7;"[  859987   863407   895454   999999   930918   954673   957013   993838
  1018769  1055504  1112667  1122358  1135578  5981267  7168286  9420082
 10456186 12695481 13112721 14106445 15716278   857981   861246   873044
   882850   909714   973773  1001412  1079023  1083548  5592610  5592694
  9420048 10285005]";[1041688, 851287, 893018, 9803591, 12782182];[998519, 7147142, 894360, 9338009, 993838];[5567582, 7168431, 1056212, 1061982, 964734];[5585510, 1044078, 5574358, 7147145, 995478]
5;8;"[  857503   885863   925711  1004906  1018339  1054851  1096563  1131321
  8019273  8090993  9268695 13115915 13189991   999999 15736860   922415
   958350   981086  1021519  1029743  1043301  1062002 17248807   830631
 12131942 15452231 15452644 15452833   825994   867138   947232   826239
   909714  1071342   974177]";[916122, 981660, 8090532, 839656, 844179];[12808385, 981660, 847374, 7410201, 939860];[937110, 9803433, 929373, 1063739, 1055403];[5569845, 1011457, 9187298, 1044078, 1044078]
6;9;[1056005  889692  999999  918046];[912451, 851287, 8205418, 5585510, 1080472];[889692, 1135468, 864335, 1056005, 10456457];[829349, 835578, 7410336, 9676944, 1137771];[1074754, 1008032, 852080, 864335, 5570590]
7;10;[1068504 1106523 1108940];[863762, 895930, 1013928, 1093413, 1006664];[918345, 1138423, 863762, 866158, 1060872];[1043920, 1104349, 849090, 834516, 981103];[1044078, 951092, 885290, 1106091, 954651]
8;13;"[  878996   942525   985178  1029743  1038985  6464165  7442056 12301334
   870826   898466 12301825 13115579 13133916   999999   825365   862070
   886317   951197   968164  1004906  1075214  1132771  1138854  9677874
  9859111 13512204   895817  1015280  1042942  8090509  8090521  8090539
  8090565 12128605  1103275 12427353 18119016]";[1014458, 1029743, 1005157, 10308337, 9487885];[9488065, 965772, 1038985, 862070, 10342382];[931579, 848684, 1063739, 5568489, 901067];[1074754, 972235, 1137507, 6554544, 851819]
9;14;"[  835098   871756   893018   902377   999999   920145   933067   939847
   941295   951190   951674   965693   969846  1004945  1025611  1029743
  1085161  1104649  1119761  1121384  1122358  1137387  7024814  9836106
 12695224 13003100 13003402 13072980 13841744 15596872 16729415 12302114
   844179  1015785  1127758  5569471  9835223 13876901]";[910673, 1025611, 1127758, 972143, 846823];[902377, 1123106, 822161, 874563, 8090610];[6919082, 9677922, 6391173, 1021416, 1060193];[1074754, 910673, 1025611, 985999, 990335]
10;15;[ 901666  966014  999999 1098844 1127179 1070820  839326 1130729];[1082185, 1042616, 933637, 12263857, 863632];[823576, 13073175, 1052975, 1053530, 1071196];[1070782, 906202, 6704319, 12262832, 997796];[901062, 1074754, 948650, 863632, 1034956]
11;16;[999999];[1026946, 923149, 1022795, 1016260, 1100533];[820486, 1138596, 860361, 5707857, 1029743];[1057168, 1115069, 828588, 1118946, 9677462];[9677159, 1016260, 1016260, 1029743, 1106523]
12;18;"[  886291   897098  1029313   819845   999999  1101706  1128477  5568729
 13672062 17179856   938118  9221631   894494   944486   951412   990797
  1011026 12263409   832288   834022   933354  1053628  1085719  9487463
  9836460   837644   845975   870929   878715  1010766  6772835]";[914577, 1104414, 951412, 1097418, 938118];[1128477, 1010766, 1022066, 1003699, 921277];[1053329, 5567582, 1117219, 1048332, 6391557];[13007912, 849697, 1128477, 879876, 848319]
13;19;"[ 9835960   841220   999104  1027068  1044078  1062863  1063577 12349795
 12810422 12946027 13876901 15926844   880969   882604  1029743   868909
  1106523  6632589 15596705   823704   844179   874972   899624  1042438
  1132789  5568197   999999 13871141 17179382   832678   871611   893018
   905537   936117  1009770  1042907  1070702  1123842  7441419 13003092
 16733960]";[1044078, 844179, 1004906, 944534, 999858];[928932, 8090610, 930385, 1057168, 1121256];[871514, 7160764, 962266, 6773232, 10143784];[1074754, 12301109, 12301100, 1044078, 985999]
14;20;"[  929018  1002850  1016274  1075368  1126899 10149303   999999   910109
   941532   944836   945611   995965  1016709 12301073   897954  5592931
 12696250  1075032  1086740  1055425   901772   908283   911614]";[894360, 910109, 6514259, 1093490, 999090];[894360, 1123106, 6514259, 901772, 12352249];[874563, 953539, 6533368, 988697, 1056212];[880888, 6424472, 942778, 8019628, 983267]
15;21;"[  834117   842930   940731   999999   981103  1003818  1042907  1094308
  1123842  6463775  6979579  9419525 18119016]";[1038663, 1103476, 999779, 1080677, 1044078];[6904419, 5569135, 835578, 1049735, 852015];[1021715, 1135983, 1015539, 10198378, 842392];[983959, 1044078, 1046555, 1074754, 1094308]
16;22;"[  999999   995965 13095004   827656   900311   956599   972445  1048257
 12301051   854852   859427   944836   897270   909002  1097761 16729299
   929363 13877013]";[6534030, 5577022, 8014645, 1006878, 853448];[1104349, 1018339, 13115981, 12301051, 6978854];[959455, 963365, 836085, 8090533, 1056212];[1006878, 901062, 933637, 971585, 1138443]
17;23;[  957411  1034176 12648296   913038 17179425];[1044500, 1053022, 849202, 925766, 849697];[958023, 1138858, 1000925, 1131830, 906335];[1090587, 9547021, 872826, 1028422, 1033857];[880888, 831937, 7024990, 1073775, 1065538]
18;24;"[ 9835619   833866   866211 15452874   999999  1055168  1094308  1101104
  9707240 17291928  1013868  1106523   914318]";[1044078, 1016800, 1094308, 899624, 8090521];[970152, 1008814, 1032703, 935993, 9835619];[6391137, 1070129, 1057749, 939860, 1129805];[926905, 1016800, 917033, 1044078, 854716]
19;25;"[  885863   929018   983665  1043751  8090521   999999 12427353 13008065
  7119702   823704   844179  1014932  1131321  1135476 15686676]";[914245, 1016298, 1017369, 5569230, 1057231];[958023, 854133, 1075786, 914245, 973016];[1029465, 1018339, 1072693, 929410, 1079528];[1094723, 1074754, 1073775, 854133, 834117]
20;26;"[ 871061 1081262  834158  859426  906838  999999 1028422 1036297 1095374
  960075 1130877 9832070  857966  990797 1050851]";[851819, 978129, 1106523, 983000, 910673];[978129, 917393, 6391080, 1083043, 1020604];[898121, 864279, 906917, 1112242, 1117219];[910673, 944172, 1081262, 996444, 1040807]
21;27;"[ 1052833  9419470   999999   949965  1014388   867709  1058709   963686
  1118264 12599756]";[1074040, 972416, 1124520, 963686, 1118264];[1057168, 963686, 1058709, 883186, 1102416];[831888, 864893, 835578, 1088771, 1031316];[887503, 1102416, 1029252, 1124520, 959345]
22;28;[ 878996  999999  948670  967332 1003799  974177 6979415];[8090556, 1079878, 6533911, 984140, 992730];[1079878, 9859017, 6533911, 6533368, 8090546];[853448, 1012701, 1016785, 894439, 1121720];[929018, 825994, 958233, 849129, 8090556]
23;29;[999999];[8019216, 835619, 898466, 1132956, 1097001];[891505, 847803, 879373, 950894, 1060193];[947412, 859877, 873980, 862535, 1032703];[1080677, 1122568, 992730, 909129, 820321]
24;31;"[  866211   916122   948650  1010676   999999  1054483  1056492  1098844
  1126899  6391016  9526100 12778045   885863   984957  1070820  1082141
  1086727  1097280  6034857  7410356  9445760  9858622 10285242 15717214
  1082990   860248   863447   933835  1004906  1040807  1070702  1135476
  5569230  7166865 12487888]";[1094924, 1138443, 1087102, 5570383, 866755];[7169088, 864279, 5571261, 1012801, 948239];[5567582, 951188, 1076580, 861494, 953191];[819978, 9242918, 942778, 10204556, 979707]
25;32;[ 843111  999999 1114762 9297059];[860248, 1108094, 1126899, 916993, 6034857];[908312, 868888, 5995603, 1024319, 9832628];[13417954, 8090508, 916578, 824977, 951176];[8273833, 878996, 1130729, 952399, 827332]
26;33;"[  836445   898394  1081177  5572738  5590613  5590695  5592094  5981267
  8357613 12810556]";[999779, 1106523, 1038663, 947858, 9835223];[1117219, 9831469, 1084036, 1119634, 853124];[864893, 1117219, 9677922, 10456164, 1053329];[1044078, 1084781, 910673, 999779, 819308]
27;34;[ 993638 1017221 1101010];[993638, 1044078, 8357613, 1068292, 871611];[1048445, 7168058, 948225, 829722, 9835619];[6391089, 1065259, 877210, 916578, 836286];[986912, 1074754, 830203, 5568729, 852856]
28;36;"[ 1029743   891752  1084310   866211   909714  7409970  9676839 13777049
   865233   871061   879699   901062   912451   913144   916122  1067779
  1079023 17105006]";[5981267, 1126899, 1047619, 1029743, 865233];[865233, 849578, 957938, 1047076, 1084310];[1065017, 13002975, 1061982, 9297615, 1134296];[1074754, 9655078, 909714, 995628, 963339]
29;37;[ 999999 1078176 1101980 1122358 1067695 1097001];[1073120, 837495, 1097001, 1056212, 10198378];[1056212, 898448, 1073120, 1067695, 1097001];[953243, 897922, 989275, 906844, 1109615];[1054185, 1132956, 1073120, 826690, 898448]
30;39;"[  825365   923789   930918   954673   999999  5564636  5566648  6039592
  6602697  8090440 10456180 13008321 14025159   893018   957164  1038214
  1073086  1101104  1121656  1127716  7410336  8276172 12781828 12782182
 15596303 15830972 17903101]";[839656, 1065380, 1126899, 9835509, 833940];[6395907, 880050, 1127716, 6513713, 838859];[881391, 1065259, 1001827, 1099164, 890423];[943892, 942778, 838859, 9242395, 1115098]
31;40;"[  999999   906883  1083043  1117824  1133850  7409845   893389  7433054
   918096  1090587  1123321  9833335   825365   903325  1072523  1137694
   916122  8118506   843891   928263  1016782  1135476  5585510  5591777
   913210  1112205 17381676   845208   957013]";[878996, 1132036, 961979, 863632, 1026118];[879194, 1083043, 964717, 1112205, 928263];[902640, 953539, 1117219, 12352089, 880888];[5565151, 928263, 1072086, 1040812, 1105488]
32;41;"[  843418   845307   865705   909714   913210   985160   999999  9419888
 13189861  5585510 13072944 13133971 17902077   874972   982360  1016210
  1120009 12810393 12985761 15926507 17179873]";[1120009, 5995603, 6961848, 983897, 868888];[1120009, 6961848, 9419888, 843418, 5569376];[867138, 820486, 1097350, 942475, 857130];[1127831, 836758, 887744, 9420181, 834117]
33;42;"[  839656   916122  1098910   829621   835296   874972  1112766   999999
  9926758   827578   963686  1029743  1120839 12263277]";[5995177, 1060673, 1112766, 7410320, 1098910];[5995177, 932462, 1112766, 1060673, 943522];[1091901, 955259, 863324, 862535, 852235];[946839, 1050851, 1125530, 1077373, 1019832]
34;43;[999999];[6391137, 982469, 1000856, 1043663, 1120970];[6391137, 1115800, 958067, 7142552, 5569074];[903529, 6391134, 985605, 852015, 1008675];[958067, 7431408, 1004906, 952163, 13213202]
